md_name,source_name,source_url
Signs_and_Symptoms.md,WHO TB Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/tuberculosis
Signs_and_Symptoms.md,CDC TB Symptoms Guide,https://www.cdc.gov/tb/communication-resources/tuberculosis-fact-sheet.html
Treatment_and_Side_Effects.md,WHO TB Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/tuberculosis
Treatment_and_Side_Effects.md,CDC Treatment Guidelines,https://www.cdc.gov/tb/treatment/index.html
Treatment_and_Side_Effects.md,CDC Staying on Track with TB Medicine PDF,https://www.cdc.gov/tb/media/Staying_on_Track_with_TB_Medicine.pdf
MDR_TB.md,WHO TB Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/tuberculosis
MDR_TB.md,WHO Global TB Report 2024,https://www.who.int/publications/digital/global-tuberculosis-report-2024
TB_Treatment_Facilities.md,Uganda Ministry of Health,https://www.health.go.ug
Global_Impact.md,WHO TB Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/tuberculosis
Global_Impact.md,WHO Global TB Report 2024,https://www.who.int/publications/digital/global-tuberculosis-report-2024
Risk_Factors_TB_and_HIV.md,WHO TB Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/tuberculosis
Risk_Factors_TB_and_HIV.md,Cleveland Clinic,https://my.clevelandclinic.org/health/diseases/11301-tuberculosis
Risk_Factors_TB_and_HIV.md,CDC TB-HIV Guidelines,https://www.cdc.gov/tb/hiv/
Prevention.md,WHO TB Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/tuberculosis
Prevention.md,CDC TB Prevention,https://www.cdc.gov/tb/prevention/
FAQ.md,CDC TB Questions & Answers PDF,https://www.cdc.gov/tb/media/Question_Answers_About_TB_English.pdf
FAQ.md,WHO TB Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/tuberculosis
Platform_Support.md,DSI MDR System Documentation,https://dsi-mdr.emergentai.ug/
CDC_Treatment_Guidelines.md,CDC Treatment Guidelines,https://www.cdc.gov/tb/treatment/index.html
CDC_Treatment_Guidelines.md,CDC What You Need to Know About TB PDF,https://www.cdc.gov/tb/media/pdfs/What_You_Need_to_Know_About_TB.pdf
Diagnosis.md,WHO TB Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/tuberculosis
Diagnosis.md,CDC TB Diagnosis Guidelines,https://www.cdc.gov/tb/diagnosis/
Uganda_MOH_TB_Infection_Control_Guidelines_2011.md,Republic of Uganda - Ministry of Health (TB Infection Control Guidelines 2011),https://library.health.go.ug/sites/default/files/resources/Final%20TB%20Infection%20Control%20Guidelines%202011.pdf
NTLP_Manual_3rd_Edition_2017.md,Ministry of Health - NTLP Manual (3rd edition),https://health.go.ug/sites/default/files/NTLP%20Manual%203rd%20edition_17th%20Aug_final.pdf
WHO_Treatment_of_Tuberculosis_4th_Edition.md,WHO Treatment of Tuberculosis: Guidelines (4th ed),https://library.health.go.ug/communicable-disease/tuberculosis/treatment-tuberculosis-guidelines-fourth-edition
00-general-system-guide.md,DSI MDR-TB platform,https://mdrweb.emergentai.ug/
