md_name,source_name,source_url
What_You_Need_to_Know_About_TB.md,Centers for Disease Control and Prevention,https://www.cdc.gov/tb/media/pdfs/What_You_Need_to_Know_About_TB.pdf
Uganda_ Manual for management and control of tuberculosis and leprosy.md,Ministry of Health Uganda,https://library.health.go.ug/sites/default/files/resources/Manual%20for%20management%20and%20Control%20of%20TB%20and%20Leprosy%202017l.pdf
TREATMENT OF TUBERCULOSIS guidelines.md,Ministry of Health Knowledge Management Portal,https://library.health.go.ug/communicable-disease/tuberculosis/treatment-tuberculosis-guidelines-fourth-edition
Staying_on_Track_with_TB_Medicine.md,Centers for Disease Control and Prevention,https://www.cdc.gov/tb/media/Staying_on_Track_with_TB_Medicine.pdf
Question_Answers_About_TB_English.md,Centers for Disease Control and Prevention,https://www.cdc.gov/tb/media/Question_Answers_About_TB_English.pdf
Platform_Support.md,DSI MDR System Documentation,https://dsi-mdr.emergentai.ug/
Global tuberculosis report 2024.md,World Health Organisation,https://www.who.int/teams/global-programme-on-tuberculosis-and-lung-health/tb-reports/global-tuberculosis-report-2024
Final TB Infection Control Guidelines 2011.md,Ministry of Health Uganda,https://library.health.go.ug/file-download/download/public/299
global-tb-report-2024_factglobal-tb-report-2024_factsheetsheet.md,World Health Organisation,https://cdn.who.int/media/docs/default-source/global-tuberculosis-report-2024/global-tb-report-2024_factsheet.pdf
NTLP Manual 3rd edition_17th Aug_final.md,Ministry of Health Uganda,https://health.go.ug/sites/default/files/NTLP%20Manual%203rd%20edition_17th%20Aug_final.pdf
WHO TB Fact Sheet.md,World Health Organisation,https://www.who.int/news-room/fact-sheets/detail/tuberculosis
cdc_treatment_guidelines.md,Centers for Disease Control and Prevention,https://www.cdc.gov/tb/treatment/index.html
Risk_Factors_TB_and_HIV.md,Cleveland Clinic,https://my.clevelandclinic.org/health/diseases/11301-tuberculosis
TB and Leprosy Case Management Desk Guide_3rd Edition_22_2_2019.md,Ministry of Health Uganda,https://library.health.go.ug/sites/default/files/resources/TB%20and%20Leprosy%20Case%20Management%20Desk%20Guide_3rd%20Edition_22_2_2019.pdf
tuberculosis_symptoms_causes.md,Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/tuberculosis/symptoms-causes/syc-20351250
tb_causes_cdc.md,Centers for Disease Control and Prevention,https://www.cdc.gov/tb/causes/index.html
health_diseases.md,Cleveland Clinic,
